Learning Rate,Batch Size,Epoch,Train Accuracy,Train Loss,Test Accurracy,Test Loss
0.01,1,15,0.38383403420448303,1.758454442024231,0.31942591071128845,2.084315776824951
0.01,1,30,0.577539324760437,1.9449503421783447,0.4188918471336365,3.590059757232666
0.01,1,45,0.592989981174469,1.807435393333435,0.45927903056144714,3.0538156032562256
0.01,1,60,0.4303290545940399,1.6201088428497314,0.38317757844924927,1.9688507318496704
0.01,1,75,0.5763948559761047,1.9042142629623413,0.4639519453048706,3.1102919578552246
0.01,1,90,0.4535050094127655,1.552060842514038,0.38751667737960815,1.922489047050476
0.01,1,105,0.40944206714630127,1.6849308013916016,0.36915886402130127,1.9788601398468018
0.01,1,120,0.5716738104820251,1.8289850950241089,0.43457943201065063,3.244266986846924
0.01,1,135,0.45407724380493164,1.6255840063095093,0.4175567328929901,1.9964351654052734
0.01,2,15,0.5751072764396667,1.7980966567993164,0.43825098872184753,3.1443822383880615
0.01,2,30,0.5606580972671509,1.830784797668457,0.4218958616256714,3.1100993156433105
0.01,2,45,0.5460658073425293,1.589638352394104,0.4389185607433319,2.421215534210205
0.01,2,60,0.5572246313095093,1.7381397485733032,0.4532710313796997,2.692716360092163
0.01,2,75,0.5600858330726624,1.8342835903167725,0.44526034593582153,2.749361991882324
0.01,2,90,0.3703862726688385,1.7085623741149902,0.28104138374328613,2.0881450176239014
0.01,2,105,0.5771101713180542,1.869182825088501,0.44125500321388245,3.084254264831543
0.01,2,120,0.3995708227157593,1.7099723815917969,0.38417890667915344,1.939326286315918
0.01,2,135,0.5758225917816162,1.8257797956466675,0.4606141448020935,3.028580665588379
0.01,4,15,0.5361945629119873,1.818881869316101,0.435247004032135,2.5877771377563477
0.01,4,30,0.5761087536811829,1.5938606262207031,0.4172229766845703,2.687451124191284
0.01,4,45,0.5379112958908081,1.7613720893859863,0.44392523169517517,2.731003999710083
0.01,4,60,0.393705278635025,1.7184529304504395,0.3578104078769684,1.9691041707992554
0.01,4,75,0.519599437713623,1.6237186193466187,0.4188918471336365,2.3807027339935303
0.01,4,90,0.44549354910850525,1.5898343324661255,0.3778371214866638,1.9596457481384277
0.01,4,105,0.40758225321769714,1.601148247718811,0.34445926547050476,2.0025599002838135
0.01,4,120,0.403576523065567,1.6997509002685547,0.36882510781288147,2.0302767753601074
0.01,4,135,0.4866952896118164,1.5043493509292603,0.4078771770000458,1.9682254791259766
0.01,8,15,0.5587982535362244,1.941866397857666,0.45126834511756897,3.2324068546295166
0.01,8,30,0.42832618951797485,1.6911405324935913,0.36882510781288147,2.116201877593994
0.01,8,45,0.4676680862903595,1.610469937324524,0.3818424642086029,2.000950813293457
